text	label
Wie melde ich mich für Kurse an?	enrollment_inquiry
Was ist die Anmeldefrist?	enrollment_inquiry
Ich brauche Hilfe bei der Kursanmeldung	enrollment_inquiry
Wann öffnet die Kursanmeldung?	enrollment_inquiry
Wie registriere ich mich für Kurse?	enrollment_inquiry
Kann ich mich noch nach der Frist für Kurse anmelden?	enrollment_inquiry
Ich habe Probleme mit dem Online-Anmeldesystem	enrollment_inquiry
Wo finde ich meinen Anmeldestatus?	enrollment_inquiry
Wie viele Kurse kann ich pro Semester belegen?	enrollment_inquiry
Was passiert, wenn ein Kurs voll ist, wenn ich mich anmelden will?	enrollment_inquiry
Kann ich mich für Kurse aus verschiedenen Fachbereichen anmelden?	enrollment_inquiry
Ich muss meine Kursanmeldung ändern, wie mache ich das?	enrollment_inquiry
Gibt es eine Warteliste für überfüllte Kurse?	enrollment_inquiry
Wie weiß ich, ob ich die Voraussetzungen für einen Kurs erfülle?	enrollment_inquiry
Kann ich einen Kurs als Gasthörer ohne Credits belegen?	enrollment_inquiry
Wie läuft die Nachmeldung ab?	enrollment_inquiry
Ich bekomme eine Fehlermeldung bei der Anmeldung	enrollment_inquiry
Wie melde ich mich für einen Betreuungskurs für die Abschlussarbeit an?	enrollment_inquiry
Können internationale Studierende alle Kurse belegen?	enrollment_inquiry
Ich muss mich für einen Intensivkurs anmelden, wo finde ich die?	enrollment_inquiry
Wie melde ich mich für Online-Kurse an?	enrollment_inquiry
Was ist der Unterschied zwischen Anmeldung und Einschreibung?	enrollment_inquiry
Ich kann den Kurs nicht finden, für den ich mich anmelden möchte	enrollment_inquiry
Wie melde ich mich für praktische Übungskurse an?	enrollment_inquiry
Kann ich mich für Kurse auf Englisch anmelden?	enrollment_inquiry
Ich brauche Hilfe beim Verstehen der Anmeldeprioritäten	enrollment_inquiry
Wie melde ich mich für Sommersemesterkurse an?	enrollment_inquiry
Kann ich mich für Kurse an Partneruniversitäten anmelden?	enrollment_inquiry
Welche Dokumente brauche ich für die Kursanmeldung?	enrollment_inquiry
Ich habe die Anmeldefrist verpasst, was sind meine Optionen?	enrollment_inquiry
Wie kann ich meine Noten einsehen?	grades_inquiry
Wo finde ich meine Prüfungsergebnisse?	grades_inquiry
Wann werden Noten veröffentlicht?	grades_inquiry
Ich kann meine Noten online nicht sehen	grades_inquiry
Wie greife ich auf das Notenportal zu?	grades_inquiry
Meine Note wurde noch nicht veröffentlicht, wann kann ich damit rechnen?	grades_inquiry
Ich denke, es gibt einen Fehler in meiner Note, wen kontaktiere ich?	grades_inquiry
Kann ich ein Zeugnis mit allen meinen Noten bekommen?	grades_inquiry
Wie berechne ich meinen Notendurchschnitt?	grades_inquiry
Wann werden normalerweise die Endnoten veröffentlicht?	grades_inquiry
Mir fehlt eine Note vom letzten Semester	grades_inquiry
Wie kann ich meine Notenhistorie einsehen?	grades_inquiry
Kann ich einzelne Aufgabennoten sehen?	grades_inquiry
Was bedeutet 'unvollständig' auf meinem Notenbericht?	grades_inquiry
Wie beantrage ich eine Notenänderung?	grades_inquiry
Kann ich meine Noten per E-Mail zugeschickt bekommen?	grades_inquiry
Ich brauche meine Noten für eine Stipendiumsbewerbung	grades_inquiry
