text	label
How do I enroll in courses?	enrollment_inquiry
What's the enrollment deadline?	enrollment_inquiry
I need help with course registration	enrollment_inquiry
When does course enrollment open?	enrollment_inquiry
How to register for classes?	enrollment_inquiry
Can I still enroll in courses after the deadline?	enrollment_inquiry
I'm having trouble with the online enrollment system	enrollment_inquiry
Where do I find my enrollment status?	enrollment_inquiry
How many courses can I enroll in per semester?	enrollment_inquiry
What happens if a course is full when I try to enroll?	enrollment_inquiry
Can I enroll in courses from different departments?	enrollment_inquiry
I need to change my course enrollment, how do I do that?	enrollment_inquiry
Is there a waiting list for overbooked courses?	enrollment_inquiry
How do I know if I meet the prerequisites for a course?	enrollment_inquiry
Can I audit a class without enrolling for credit?	enrollment_inquiry
What's the process for late enrollment?	enrollment_inquiry
I'm getting an error message during enrollment	enrollment_inquiry
How do I enroll in a thesis supervision course?	enrollment_inquiry
Can international students enroll in all courses?	enrollment_inquiry
I need to enroll in an intensive course, where do I find those?	enrollment_inquiry
How do I enroll in online courses?	enrollment_inquiry
What's the difference between enrollment and registration?	enrollment_inquiry
I can't find the course I want to enroll in	enrollment_inquiry
How do I enroll in practical training courses?	enrollment_inquiry
Can I enroll in courses taught in English?	enrollment_inquiry
I need help understanding the enrollment priorities	enrollment_inquiry
How do I enroll in summer semester courses?	enrollment_inquiry
Can I enroll in courses at partner universities?	enrollment_inquiry
What documents do I need for course enrollment?	enrollment_inquiry
I missed the enrollment period, what are my options?	enrollment_inquiry
How can I check my grades?	grades_inquiry
Where do I find my exam results?	grades_inquiry
When will grades be published?	grades_inquiry
I can't see my grades online	grades_inquiry
How to access grade portal?	grades_inquiry
My grade hasn't been posted yet, when should I expect it?	grades_inquiry
I think there's an error in my grade, who do I contact?	grades_inquiry
Can I get a transcript with all my grades?	grades_inquiry
How do I calculate my GPA?	grades_inquiry
When are final grades typically released?	grades_inquiry
I'm missing a grade from last semester	grades_inquiry
How can I view my grade history?	grades_inquiry
Can I see individual assignment grades?	grades_inquiry
What does 'incomplete' mean on my grade report?	grades_inquiry
How do I request a grade change?	grades_inquiry
Can I get my grades emailed to me?	grades_inquiry
I need my grades for a scholarship application	grades_inquiry
Where can I find my midterm grades?	grades_inquiry
How long does it take for professors to post grades?	grades_inquiry
Can I see my class ranking based on grades?	grades_inquiry
I need to verify my grades for transfer purposes	grades_inquiry
How do I access grades from previous semesters?	grades_inquiry
What's the grading scale used at HNU?	grades_inquiry
Can I get a detailed breakdown of my course grade?	grades_inquiry
How do I check if all my grades are recorded correctly?	grades_inquiry
I need an official grade report for my employer	grades_inquiry
Can I see my professor's comments on my grades?	grades_inquiry
How do I access grades for online courses?	grades_inquiry
What should I do if my grade seems unfair?	grades_inquiry
Can I get a grade report in English?	grades_inquiry
I need my official transcript	transcript_request
How to request transcript?	transcript_request
Where can I get my grade transcript?	transcript_request
I need certified transcript	transcript_request
How long for transcript processing?	transcript_request
Can I get my transcript online?	transcript_request
What documents do I need for transcript request?	transcript_request
Is there a fee for official transcripts?	transcript_request
Can I get an unofficial transcript immediately?	transcript_request
How do I request transcripts for multiple semesters?	transcript_request
I need my transcript sent directly to another university	transcript_request
Can I get a digital copy of my transcript?	transcript_request
What's the difference between official and unofficial transcripts?	transcript_request
I need my transcript in English for international applications	transcript_request
How many copies of transcript can I request?	transcript_request
Can I expedite my transcript request?	transcript_request
I need my transcript for a job application, how quickly can I get it?	transcript_request
Where do I pick up my processed transcript?	transcript_request
Can someone else collect my transcript on my behalf?	transcript_request
I need a partial transcript with just some courses?	transcript_request
How do I track the status of my transcript request?	transcript_request
Can I get transcripts from previous institutions through HNU?	transcript_request
I need my transcript apostilled for international use	transcript_request
What if there's an error on my transcript?	transcript_request
Can I get a transcript while I'm still enrolled?	transcript_request
I need my transcript for graduate school applications	transcript_request
How do I request transcripts for transfer credit evaluation?	transcript_request
Can I get my transcript in multiple languages?	transcript_request
I lost my previous transcript, can I get a replacement?	transcript_request
How far back can transcript records go?	transcript_request
I lost my student ID card	student_id_card
How to get new student card?	student_id_card
Student ID replacement process	student_id_card
My student card is not working	student_id_card
Where to renew student ID?	student_id_card
Can I get a temporary student ID?	student_id_card
How much does a replacement student card cost?	student_id_card
My student ID card is damaged	student_id_card
I need a new photo for my student ID	student_id_card
How long does it take to get a new student card?	student_id_card
Where do I report a stolen student ID?	student_id_card
Can I use my student ID at other universities?	student_id_card
My student ID expired, how do I renew it?	student_id_card
I need my student ID for exams tomorrow	student_id_card
Can I get a digital student ID?	student_id_card
How do I activate my new student card?	student_id_card
My student ID card won't scan in the library	student_id_card
I forgot my student ID, can I still take exams?	student_id_card
How do I update my information on my student ID?	student_id_card
Can I get a backup student ID card?	student_id_card
What should I do if my student ID is deactivated?	student_id_card
How do I replace my student ID if I'm studying abroad?	student_id_card
Can I get a student ID during orientation week?	student_id_card
My student ID magnetic stripe is worn out	student_id_card
I need to change my name on my student ID	student_id_card
Can I get a student ID with accessibility features?	student_id_card
How do I get a student ID as an exchange student?	student_id_card
What services require a student ID card?	student_id_card
Can I use my student ID for public transportation?	student_id_card
How do I validate my student status with my ID?	student_id_card
How to access library resources?	library_services
Library opening hours?	library_services
How to borrow books?	library_services
Can't access online library	library_services
Book reservation system help	library_services
How to renew library books?	library_services
I have overdue library books	library_services
Can I request books from other libraries?	library_services
How to access e-books?	library_services
Library study room booking	library_services
How to use library printers?	library_services
Can I bring food into the library?	library_services
How to access academic databases?	library_services
Library fine payment process	library_services
Can I get library training?	library_services
How to cite sources correctly?	library_services
Interlibrary loan process	library_services
Can I use library computers?	library_services
How to search for journal articles?	library_services
Library group study areas	library_services
How to access digital resources from home?	library_services
Can I borrow laptops from the library?	library_services
What's the library's quiet study policy?	library_services
How to access archives and special collections?	library_services
Can I get help with research projects?	library_services
How to use the library's scanning services?	library_services
What databases are available for my major?	library_services
Can I reserve books online?	library_services
How to get library orientation?	library_services
What are the library borrowing limits?	library_services
