text	label
I can't log into the university email, is there a system outage?	it_support_employee
Could someone help me with the presentation software? It's acting weird.	it_support_employee
My laptop won't connect to the Wi-Fi, any tips?	it_support_employee
I need access to the shared drive for my research project, who do I contact?	it_support_employee
Is there a way to reset my password for the intranet?	it_support_employee
My printer keeps jamming, any suggestions on how to fix it?	it_support_employee
Why is the online course platform so slow today?	it_support_employee
I'm having issues with my video conferencing tool, can someone assist?	it_support_employee
I can't open the grading software, is it down for maintenance?	it_support_employee
Can I get help with my email signature setup? It's not saving properly.	it_support_employee
Does anyone know why the library system isn't allowing me to check out books?	it_support_employee
I need to update my software but my computer says there's no space left.	it_support_employee
My desktop is frozen, what should I do to unfreeze it?	it_support_employee
Is the university's VPN down? I can't connect remotely.	it_support_employee
I accidentally deleted an important file, is there a way to recover it?	it_support_employee
How do I access the new research database? I can't find the link.	it_support_employee
My webcam isn't working for online lectures, what can I do?	it_support_employee
I'm having trouble with my Outlook calendar syncing, any ideas?	it_support_employee
Could someone remind me how to submit my expense reports online?	it_support_employee
The projector in the lecture hall isn't displaying anything, help!	it_support_employee
Can I get a new mouse for my office? This one is really glitchy.	it_support_employee
Is there a way to set up two-factor authentication for my university email?	it_support_employee
I need to install some software for a project, who do I ask?	it_support_employee
Does anyone else have issues with the grading portal? It's really slow.	it_support_employee
How do I change my profile picture in the staff directory?	it_support_employee
I'm locked out of my university account, who can help?	it_support_employee
Can I borrow a laptop for a conference next week?	it_support_employee
My email isn't syncing on my phone, what could be wrong?	it_support_employee
The online submission system for grants isn't working, any updates?	it_support_employee
Where can I find the IT support contact information?	it_support_employee
I need to update my antivirus software, is there a guide for that?	it_support_employee
How do I add a new user to our department's shared folder?	it_support_employee
Is the university website down? I can't access any pages.	it_support_employee
I'm getting error messages when trying to upload my research paper.	it_support_employee
Can I get help with configuring my new smartphone for university email?	it_support_employee
The sound on my computer isn't working, any troubleshooting tips?	it_support_employee
Who can help me install the new software on the lab computers?	it_support_employee
I'm having issues with my Zoom account, it keeps logging me out.	it_support_employee
Why can't I access the course materials for my class?	it_support_employee
My office computer is really slow, can I get it checked?	it_support_employee
How do I connect my personal laptop to the university printer?	it_support_employee
I can't find the meeting link for the staff meeting, can someone send it?	it_support_employee
I need to change my email forwarding settings, where do I do that?	it_support_employee
The digital whiteboard isn't responding, any advice?	it_support_employee
Is there a tutorial for using the new research management software?	it_support_employee
I can't remember my password for the library database, help!	it_support_employee
Can I get support for setting up my new office phone?	it_support_employee
Why is my department's webpage not updating with the latest info?	it_support_employee
I'm trying to access a specific journal but it's asking for a login.	it_support_employee
The software update on my laptop failed, what should I do?	it_support_employee
I need to connect to the VPN, but I can't remember my password.	vpn_access
Can someone help me with the VPN setup on my laptop?	vpn_access
I’m having trouble accessing the remote server via VPN, what gives?	vpn_access
