text	label
Ich kann mich nicht in mein E-Mail-Konto einloggen, was soll ich machen?	it_support_employee
Der Beamer im Seminarraum funktioniert nicht, könntet ihr da mal nachsehen?	it_support_employee
Wie ändere ich mein Passwort für das WLAN?	it_support_employee
Ich habe Probleme mit der Software, die ich für mein Forschungsprojekt brauche.	it_support_employee
Kann mir jemand erklären, wie ich einen Druckauftrag an den neuen Drucker sende?	it_support_employee
Mein Laptop stürzt ständig ab, was könnte da los sein?	it_support_employee
Ich finde die Studierendenverwaltung nicht mehr auf der Website, wo ist die?	it_support_employee
Wie kann ich meine E-Mails auf meinem Handy einrichten?	it_support_employee
Der Internetzugang im Büro ist total langsam, gibt es da ein Problem?	it_support_employee
Ich kann die Datei nicht speichern, weil ich keine Berechtigung habe, was tun?	it_support_employee
Kann ich die Software für die Datenanalyse auch auf dem Uni-Notebook installieren?	it_support_employee
Wie melde ich mich für den IT-Support an, wenn ich ein Problem habe?	it_support_employee
Ich hab vergessen, wie man den Drucker zurücksetzt, könntest du mir helfen?	it_support_employee
Wo finde ich die Anleitung für die Videokonferenzsoftware?	it_support_employee
Ich komme mit dem neuen Campus-Management-System nicht klar.	it_support_employee
Mein Rechner zeigt ständig ein Fehlerfenster an, was kann ich tun?	it_support_employee
Kann ich die Uni-Software auch privat nutzen? Weiß das jemand?	it_support_employee
Ich hab ein Problem mit der Verbindung zum Druckserver.	it_support_employee
Wie melde ich mich für Online-Kurse an? Geht das auch über die App?	it_support_employee
Der Scanner in der Bibliothek funktioniert nicht, könnt ihr das reparieren?	it_support_employee
Ich kann die Präsentation nicht hochladen, hat jemand eine Idee?	it_support_employee
Mein Smartphone verbindet sich nicht mit dem Uni-WLAN, was mache ich falsch?	it_support_employee
Brauche ich extra Software für die Videoübertragung im Seminar?	it_support_employee
Ich hab beim letzten Update ein Problem, was kann ich tun?	it_support_employee
Kann mir jemand den Zugang zum Online-Portal freischalten?	it_support_employee
Mein Bildschirm flackert, ist das ein Hardwareproblem?	it_support_employee
Ich habe vergessen, wie man die VPN-Verbindung herstellt.	it_support_employee
Der Drucker im Flur ist leer, kann das jemand nachfüllen?	it_support_employee
Ich kann die Meeting-Links nicht finden, wo stehen die?	it_support_employee
Wie kann ich meine Daten im System aktualisieren?	it_support_employee
Ich bekomme ständig Spam-Mails, was kann ich dagegen tun?	it_support_employee
Ich kann meine Dateien nicht finden, sind die vielleicht gelöscht worden?	it_support_employee
Wie kann ich die Software für meine Präsentation herunterladen?	it_support_employee
Die Uni-Website lädt bei mir nicht, liegt das an meinem Browser?	it_support_employee
Ich brauche Unterstützung bei der Installation von MATLAB.	it_support_employee
Wie kann ich einen Termin für die IT-Beratung vereinbaren?	it_support_employee
Der Laptop ist total langsam, kann ich da was machen?	it_support_employee
Ich habe ein Problem mit der Synchronisation meiner E-Mails.	it_support_employee
Kann ich meine alten E-Mails irgendwo archivieren?	it_support_employee
Ich bin mir nicht sicher, ob mein Passwort sicher ist, was denkt ihr?	it_support_employee
Ich kann das WLAN-Passwort nicht finden, wo steht das?	it_support_employee
Wie kann ich die Datenschutzbestimmungen für unsere Software einsehen?	it_support_employee
Ich kann die Updates nicht installieren, hat jemand einen Tipp?	it_support_employee
Wie funktioniert die Anmeldung für die neue Software?	it_support_employee
Ich hab ein Problem mit dem Zugang zu meiner Forschungsdatenbank.	it_support_employee
Kann ich die Uni-Software auch auf meinem Privatgerät nutzen?	it_support_employee
Ich hab keine Berechtigung, um auf die Dateien zuzugreifen, was nun?	it_support_employee
Mein E-Mail-Postfach ist überfüllt, was kann ich löschen?	it_support_employee
Der Drucker im Büro druckt nicht, was kann ich ausprobieren?	it_support_employee
Ich kann mich nicht in das Online-Portal einloggen, weiß jemand warum?	it_support_employee
Ich kann mich nicht mit dem VPN verbinden, was könnte das Problem sein?	vpn_access
Wie richte ich das VPN auf meinem Mac ein?	vpn_access
Ich habe Schwierigkeiten, von zu Hause aus auf die Ressourcen zuzugreifen.	vpn_access
Kann mir jemand helfen, das VPN korrekt einzustellen?	vpn_access
Mein VPN funktioniert nicht, wenn ich mit dem WLAN verbunden bin.	vpn_access
Wie lange dauert es, bis ich nach dem VPN-Setup wieder online bin?	vpn_access
Wieso kann ich die Datenbank über VPN nicht erreichen?	vpn_access
Ich habe das Gefühl, mein VPN ist langsamer als sonst.	vpn_access
Kann ich das VPN auch auf meinem Handy nutzen?	vpn_access
Habe ich die richtige Konfiguration für das VPN?	vpn_access
Ich kann nicht auf die interne Website zugreifen, wenn ich über VPN bin.	vpn_access
Wie oft sollte ich mich mit dem VPN verbinden, um sicher zu bleiben?	vpn_access
Ich brauche eine Anleitung, um das VPN auf Windows 10 einzurichten.	vpn_access
Hat jemand die aktuellen VPN-Zugangsdaten?	vpn_access
Ich kann nach der letzten Software-Änderung nicht mehr auf VPN zugreifen.	vpn_access
Ich wollte nur nachfragen, ob das VPN gerade down ist.	vpn_access
Mein VPN-Client zeigt ständig „Verbindung fehlgeschlagen“.	vpn_access
Wieso kann ich den VPN nicht mit meinem Linux-Rechner verbinden?	vpn_access
Gibt es eine Möglichkeit, die VPN-Geschwindigkeit zu verbessern?	vpn_access
Ich habe keine Berechtigung, um auf das VPN zuzugreifen, was nun?	vpn_access
Kann ich beim Einrichten des VPNs etwas falsch gemacht haben?	vpn_access
Ich habe das Passwort für das VPN vergessen, wo kann ich das zurücksetzen?	vpn_access
Wie kann ich sicherstellen, dass mein VPN immer verbunden bleibt?	vpn_access
Ich brauche dringend Zugriff auf die VPN, kann mir jemand helfen?	vpn_access
Ich hab das VPN auf zwei Geräten, aber nur auf einem klappt's.	vpn_access
Was kann ich tun, wenn ich beim VPN eine Fehlermeldung bekomme?	vpn_access
Ich hab die VPN-App runtergeladen, aber es passiert nix.	vpn_access
Mein Kollege hat gesagt, dass er Probleme mit dem VPN hat, wisst ihr mehr?	vpn_access
Wie oft sollte ich mein VPN-Passwort ändern?	vpn_access
Ich kann die VPN-Anmeldung nicht abschließen, was mache ich falsch?	vpn_access
Muss ich das VPN jedes Mal neu starten, wenn ich mich anmelde?	vpn_access
Ich kann über meine VPN-Verbindung keine Videos streamen, woran liegt das?	vpn_access
Gibt es eine spezielle Software, die ich für das VPN benutzen sollte?	vpn_access
Ich habe die Anleitung für das VPN nicht gefunden, wo steht die?	vpn_access
Kann ich den VPN-Zugang auch für private Zwecke nutzen?	vpn_access
Ich kann nicht auf die Forschungsdaten zugreifen, wenn ich über VPN bin.	vpn_access
Wie kann ich die VPN-Logs einsehen, um Probleme zu analysieren?	vpn_access
Ich habe das Gefühl, dass das VPN zu viele Ressourcen frisst.	vpn_access
Kann ich das VPN auch für externe Geräte wie Tablets nutzen?	vpn_access
Ich wollte fragen, ob es eine mobile VPN-App gibt, die empfohlen wird.	vpn_access
Ich habe die VPN-Einrichtung nach Anleitung durchgeführt, aber es klappt nicht.	vpn_access
Kann mir jemand die Schritte zur Fehlerbehebung bei VPN-Verbindungen schicken?	vpn_access
Ich habe das Gefühl, dass mein VPN regelmäßig abbricht, ist das normal?	vpn_access
Ich kann mich nicht mit dem VPN verbinden, weil ich nicht im Büro bin.	vpn_access
Ich brauche Hilfe bei der Konfiguration meines VPN für Home Office.	vpn_access
Was sind die häufigsten Fehler beim VPN-Setup?	vpn_access
Gibt es ein VPN-Tutorial für Anfänger, das ich mir anschauen kann?	vpn_access
Ich habe die VPN-Zugangsdaten vergessen, wo finde ich die wieder?	vpn_access
Ich kann nur mit LAN auf das VPN zugreifen, aber nicht über WLAN.	vpn_access
Wie oft muss ich meine VPN-Einstellungen aktualisieren?	vpn_access
Ich habe mein Passwort für den Zugang zu meinem Mitarbeiterkonto vergessen. Was kann ich tun?	password_reset_employee
Könnte mir bitte jemand helfen, mein System-Passwort zurückzusetzen?	password_reset_employee
Ich hab mein Passwort geändert, aber jetzt kann ich mich nicht mehr einloggen. Hilfe!	password_reset_employee
Wo finde ich die Anleitung für das Zurücksetzen meines Mitarbeiterpassworts?	password_reset_employee
Mein Zugang zum Intranet funktioniert nicht mehr, was mach ich jetzt?	password_reset_employee
Ich kann mich nicht mehr in mein E-Mail-Konto einloggen. Was soll ich machen?	password_reset_employee
Könnte jemand bitte mein Passwort zurücksetzen? Ich komm nicht mehr rein.	password_reset_employee
Ich hab ein Problem mit meinem Zugang zu den Online-Ressourcen. Wer hilft mir?	password_reset_employee
Wie lange dauert es normalerweise, bis ein Passwort zurückgesetzt wird?	password_reset_employee
Ich hab mein Passwort vergessen, kann ich das einfach selber zurücksetzen?	password_reset_employee
Wie resetteste ich mein Passwort für den Uni-Server?	password_reset_employee
Ich benötige dringend Zugang zu meinen Unterlagen, mein Passwort geht nicht mehr!	password_reset_employee
Kann ich mein Passwort ohne Hilfe von IT zurücksetzen?	password_reset_employee
Gibt es eine Möglichkeit, mein Passwort über die Website zurückzusetzen?	password_reset_employee
Ich bin mir nicht sicher, ob ich das richtige Passwort eingebe. Was tun?	password_reset_employee
Ich hab gehört, dass es neue Richtlinien für Passwörter gibt. Wo finde ich die?	password_reset_employee
Wie oft muss ich mein Passwort ändern? Gibt es da Vorgaben?	password_reset_employee
Ich kann mich nicht mehr in die Bibliothek einloggen. Was soll ich tun?	password_reset_employee
Mein Passwort funktioniert nicht, obwohl ich es frisch geändert habe. Hilfe!	password_reset_employee
Kann ich mein Passwort auch telefonisch zurücksetzen lassen?	password_reset_employee
Ich hab mein Passwort für das Mitarbeiterportal vergessen. Was jetzt?	password_reset_employee
Wie kann ich sicherstellen, dass mein Passwort stark genug ist?	password_reset_employee
Ich habe ein Problem mit dem Zugang zu den Forschungsdaten. Wer kann mir helfen?	password_reset_employee
Ich hab mal wieder mein Passwort vergessen, kann ich es einfach zurücksetzen?	password_reset_employee
Ich brauche dringend Zugriff auf meine E-Mails, aber mein Passwort geht nicht.	password_reset_employee
Ich kann mich nicht mehr ins System einloggen, was kann ich machen?	password_reset_employee
Ich hab mein Passwort für die Uni-App vergessen. Wie resettest man das?	password_reset_employee
Kann ich den IT-Support auch über Chat erreichen, um mein Passwort zurückzusetzen?	password_reset_employee
Gibt es eine Frist, bis wann ich mein Passwort zurücksetzen muss?	password_reset_employee
Ich hab gestern mein Passwort geändert, jetzt funktioniert es nicht mehr. Was jetzt?	password_reset_employee
Ich kann mich nicht in die Videokonferenz-Plattform einloggen. Hilfe!	password_reset_employee
Wie oft sollte ich mein Passwort ändern, um sicher zu bleiben?	password_reset_employee
Ich habe das Gefühl, dass mein Passwort gehackt wurde. Was soll ich tun?	password_reset_employee
Wer kann mir bei meinem Passwortproblem helfen? Ich find keinen Zugang mehr.	password_reset_employee
Ich kann nicht auf mein Mitarbeiterkonto zugreifen – wer hilft mir?	password_reset_employee
Mein Passwort wird nicht akzeptiert, trotz mehrerer Versuche. Was kann ich tun?	password_reset_employee
Kann ich mein Passwort auch über eine App zurücksetzen?	password_reset_employee
Ich habe keine E-Mail zur Passwortänderung erhalten, was nun?	password_reset_employee
Ich hab ein Problem mit dem Zugang zu meinem Kursmaterial. Wer ist zuständig?	password_reset_employee
Ich benötige Unterstützung beim Zurücksetzen meines Passes. Wer kann mir helfen?	password_reset_employee
Kann ich die IT-Abteilung direkt anrufen, um mein Passwort zurückzusetzen?	password_reset_employee
Ich hab mein Passwort falsch eingegeben und jetzt ist das Konto gesperrt. Was tun?	password_reset_employee
Wie lange dauert es, bis ich ein neues Passwort erhalte?	password_reset_employee
Ich hab das Passwort für die Finanzsoftware vergessen. Wer hilft mir?	password_reset_employee
Gibt es eine Möglichkeit, mein Passwort automatisch zurücksetzen zu lassen?	password_reset_employee
Ich kann nicht auf die Online-Bibliothek zugreifen, mein Passwort geht nicht.	password_reset_employee
Wie oft muss ich mein Passwort wechseln? Gibt es eine Regelung?	password_reset_employee
Ich hab mein Passwort für die Uni-Plattform vergessen. Was jetzt?	password_reset_employee
Ich hab Probleme mit dem Zugang zu meinem E-Mail-Account, was kann ich tun?	password_reset_employee
Ich brauche Hilfe beim Zurücksetzen meines Passworts für das Mitarbeiterportal.	password_reset_employee
Ich benötige eine Lizenz für die neue Statistiksoftware, wo kann ich die beantragen?	software_request
Könnten Sie mir bitte die nötigen Schritte für die Installation von MATLAB erklären?	software_request
Ich hab Probleme mit dem Update meiner Grafiksoftware, könnte jemand vorbeikommen?	software_request
Brauche ich für das neue Forschungsprojekt spezielle Lizenzen für die Software?	software_request
Wie lange dauert es, bis die neue Software auf den Rechnern installiert ist?	software_request
Ich kann mich nicht mehr in die Software einloggen, was kann ich tun?	software_request
Habe ich Zugriff auf die neueste Version von SPSS?	software_request
Könnte mir bitte jemand die Lizenznummer für die Antiviren-Software zuschicken?	software_request
Ich habe die Software auf meinem Laptop installiert, aber sie funktioniert nicht richtig.	software_request
Wo finde ich die Informationen zu den Softwarelizenzen für das kommende Semester?	software_request
Ich benötige dringend eine Lizenz für die Plagiatssoftware, wo bekomme ich die her?	software_request
Kann mir jemand bei der Installation von RStudio helfen?	software_request
Habe ich die Möglichkeit, die Software auf mehreren Geräten zu nutzen?	software_request
Ich wollte nachfragen, ob es ein Update für die Datenbanksoftware gibt.	software_request
Könnte ich bitte die Lizenz für die Adobe Creative Suite anfordern?	software_request
Ich habe die Lizenz für die Programmiersoftware verloren, was soll ich tun?	software_request
Kann ich die Software auch auf meinem privaten Laptop installieren?	software_request
Wie läuft das mit den Software-Updates für unsere Labore?	software_request
Ich brauche dringend den Zugang zur neuen E-Learning-Plattform, wie geht das?	software_request
Ich hab die Software bereits, aber ich brauche die neuesten Funktionen.	software_request
Was muss ich tun, um die Software auf dem neuen PC zu installieren?	software_request
Kann ich die Software auch im Homeoffice nutzen?	software_request
Ich habe Probleme mit der Installation von Office, kann mir da jemand helfen?	software_request
Wo finde ich die Lizenzbedingungen für die Software, die wir nutzen?	software_request
Ich habe die Lizenz für die Datenanalysesoftware angefordert, wann kann ich mit einer Antwort rechnen?	software_request
Könnte jemand das Software-Update für mich durchführen?	software_request
Ich brauche eine Anleitung für die Installation von Python, wo finde ich die?	software_request
Sind die Lizenzen für die Software auch für Studierende verfügbar?	software_request
Ich habe gehört, dass es ein neues Update für die Grafiksoftware gibt, stimmt das?	software_request
Ich hab ein Problem mit einer alten Software-Version auf meinem Rechner.	software_request
Könnte ich die Lizenz für die Projektmanagement-Software verlängern?	software_request
Ich hab die Software auf dem Desktop installiert, aber nicht auf dem Laptop.	software_request
Wie kann ich die Software auf einen neuen Rechner übertragen?	software_request
Ich benötige eine Lizenz für die neue Forschungssoftware, an wen kann ich mich wenden?	software_request
Kann ich auch eine Testversion der Software anfordern?	software_request
Ich hab schon alles probiert, aber die Software startet nicht.	software_request
Wo kann ich die Installationsanleitung für die neue Software finden?	software_request
Ich hab ein Problem mit dem Download der Software, wer kann mir helfen?	software_request
Könnten wir eine Schulung für die neue Software organisieren?	software_request
Ich brauche die Lizenz für die Backup-Software, wie gehe ich da vor?	software_request
Ich kann die Software nicht finden, hat sie jemand gelöscht?	software_request
Gibt es eine zentrale Anlaufstelle für Softwareanfragen?	software_request
Ich bin mir nicht sicher, ob ich die richtige Lizenz habe, wer kann das prüfen?	software_request
Ich habe ein Update für die Software gefunden, wie installiere ich das?	software_request
Ich brauch die Lizenz für das nächste Seminar, kann mir jemand helfen?	software_request
Ich hab die Software auf zwei Geräten installiert, ist das ein Problem?	software_request
Wo kann ich die Software für meine Präsentation herunterladen?	software_request
Ich hab ein Fehler bei der Installation gemacht, was jetzt?	software_request
Könnte ich die Software bitte auf meinem Diensthandy installieren?	software_request
Ich hab eine Fehlermeldung bekommen, als ich die Software gestartet habe.	software_request
Kann ich den Seminarraum B105 für nächste Woche reservieren?	room_booking
Wie buche ich einen Hörsaal für meine Vorlesung?	room_booking
Ich würde gerne den Konferenzraum C3 für ein Meeting nutzen, wie geht das?	room_booking
Wo finde ich die Informationen zur Buchung von Räumen?	room_booking
Ich hab gehört, dass der Raum A202 frei ist, kann ich den schnell buchen?	room_booking
Wie viele Personen passen in den Raum D1?	room_booking
Kann ich die Technik im Raum E4 vorher testen?	room_booking
Gibt es einen Raum für unsere Gruppendiskussion am Freitag?	room_booking
Ich brauche einen Raum für ein wichtiges Treffen, gibt's was verfügbar?	room_booking
Wie lange im Voraus muss ich einen Raum reservieren?	room_booking
Kann ich den Raum F107 auch für private Veranstaltungen buchen?	room_booking
Wo kann ich die Online-Raumreservierung finden?	room_booking
Ich hab vergessen, den Raum für nächste Woche zu reservieren, was nun?	room_booking
Wie läuft das mit der Buchung von Laborräumen ab?	room_booking
Ich möchte einen Raum für ein Webinar buchen, gibt's da spezielle Richtlinien?	room_booking
Kann ich den Raum G2 auch außerhalb der normalen Zeiten nutzen?	room_booking
Ich brauche den Raum für ein Projektmeeting, wie mache ich das?	room_booking
Wie viele Räume kann ich gleichzeitig buchen?	room_booking
Ich hab keinen Zugang zur Buchungsplattform, was kann ich tun?	room_booking
Sind die Konferenzräume auch am Wochenende verfügbar?	room_booking
Kann ich den Raum H3 kurzfristig buchen?	room_booking
Ich hab ein Problem mit der Buchungssoftware, könnt ihr mir helfen?	room_booking
Wie kann ich die Ausstattung in den Räumen überprüfen?	room_booking
Was ist der Unterschied zwischen den Räumen A und B?	room_booking
Ich hab den Raum für Donnerstag reserviert, aber die Bestätigung fehlt.	room_booking
Kann ich die Buchung ändern, wenn ich die Zeit verschieben muss?	room_booking
Wo sind die Schlüssel für die reservierten Räume?	room_booking
Ich suche einen Raum mit Präsentationstechnik, wo kann ich den buchen?	room_booking
Wie viele Leute passen in den Raum I1?	room_booking
Ich hab ein Meeting mit externen Gästen, wo kann ich einen Raum buchen?	room_booking
Kann ich einen Raum für eine Besprechung mit Studierenden reservieren?	room_booking
Ich wollte mal fragen, ob Raum J5 für nächste Woche frei ist?	room_booking
Wie kann ich den Raum für ein Team-Workshop reservieren?	room_booking
Ich hab gehört, dass der Raum K4 neu ausgestattet wurde, stimmt das?	room_booking
Wie lange kann ich einen Raum maximal buchen?	room_booking
Ich brauch dringen einen Raum für eine kurzfristige Besprechung!	room_booking
Gibt es einen Raum mit Videokonferenztechnik?	room_booking
Wie kann ich einen Raum im neuen Gebäude buchen?	room_booking
Ich habe die Buchungsrichtlinien nicht gefunden, wo stehen die?	room_booking
Kann ich den Raum L2 auch für private Zwecke nutzen?	room_booking
Wo sind die Parkplätze für die Gäste beim Raum M1?	room_booking
Ich möchte den Raum für ein Event reservieren, was muss ich beachten?	room_booking
Ich hab keine Bestätigung für meine Buchung bekommen, was jetzt?	room_booking
Wie kann ich die Buchung für den Raum N3 stornieren?	room_booking
Ich brauche einen Raum für ein wichtiges Meeting, gibt's da was frei?	room_booking
Ich hab ein paar Fragen zur Technik im Raum O2.	room_booking
Kann ich den Raum P1 auch abends nutzen?	room_booking
Wie oft kann ich einen Raum buchen, bevor es Probleme gibt?	room_booking
Ich wollte einen Raum für eine Präsentation reservieren, wie geht das?	room_booking
Gibt es eine maximale Teilnehmerzahl für die Räume?	room_booking
Ich benötige dringend neue Stifte und Notizblöcke für mein Seminar.	equipment_request
Könnte ich bitte einen neuen Laptop für meine Forschung anfordern?	equipment_request
Wo bestelle ich am besten Büromöbel für unser neues Team?	equipment_request
Ich habe das Gefühl, dass unser Drucker oft Papierstau hat, was kann ich tun?	equipment_request
Könnten Sie mir sagen, wo die Bestellformulare für Bürobedarf sind?	equipment_request
Brauche mal neue Marker für die Tafel, die alten sind alle trocken.	equipment_request
Wie lange dauert es normalerweise, bis eine Bestellung für Büromaterial ankommt?	equipment_request
Ich möchte einen neuen Tisch für mein Büro bestellen, wo fange ich an?	equipment_request
Gibt es eine Möglichkeit, die Bestellung für unsere neue Kaffeemaschine zu beschleunigen?	equipment_request
Haben wir genügend Papier für die nächsten Wochen oder sollten wir nachbestellen?	equipment_request
Kann ich die Bestellung für den neuen Beamer selbst aufgeben oder muss ich das über die Verwaltung machen?	equipment_request
Ich hab gesehen, dass unsere Stühle nicht mehr gut sind, kann ich die ersetzen?	equipment_request
Wie läuft das mit der Bestellung von Büromaterial, gibt's da eine Frist?	equipment_request
Ich bräuchte einen neuen Monitor, der alte hat einen Defekt. Wer hilft mir da?	equipment_request
Wo finde ich die Liste der genehmigten Lieferanten für Möbel?	equipment_request
Könntest du mir helfen, die richtige Ausstattung für mein neues Labor zu finden?	equipment_request
Ich hab einen Tisch bestellt, aber er ist noch nicht angekommen. Was nun?	equipment_request
Brauchen wir ein neues Whiteboard für den Seminarraum?	equipment_request
Könnte ich einen zusätzlichen Schrank für meine Unterlagen anfordern?	equipment_request
Ich bin mir nicht sicher, ob wir genug Büromaterial haben, kann ich nachsehen?	equipment_request
Könnte ich bitte einige neue Ordner für unsere Unterlagen bestellen?	equipment_request
Gibt's eine spezielle Bestellung für nachhaltige Büroartikel?	equipment_request
Ich habe einen neuen Projektor bestellt, wann kann ich mit der Lieferung rechnen?	equipment_request
Sind die Preise für die Büromöbel aktuell, wo finde ich die Infos?	equipment_request
Ich hab ein paar defekte Stühle in meinem Büro, wie kann ich die melden?	equipment_request
Könnte ich einen Katalog für Bürobedarf anfordern?	equipment_request
Wie oft können wir Büroartikel nachbestellen?	equipment_request
Ich bräuchte einen neuen Schreibtischstuhl, der alte ist kaputt.	equipment_request
Kann ich die Bestellung für eine neue Bibliothekssoftware selbst aufgeben?	equipment_request
Ich wollte mal nachfragen, ob wir neue Laptops für die Lehrenden bekommen könnten.	equipment_request
Gibt's eine spezielle Vorgehensweise für die Bestellung von Laborgeräten?	equipment_request
Ich hab einen neuen Drucker bestellt, aber die Lieferung kam noch nicht.	equipment_request
Wo sind die Formulare für die Bestellung von Büromaterial?	equipment_request
Kann ich einfach online Bestellungen für Bürobedarf aufgeben?	equipment_request
Ich brauche dringend neues Toner für den Drucker, wo kann ich das bestellen?	equipment_request
Wie lange dauert es, bis neue Möbel geliefert werden?	equipment_request
Könnte ich einen zusätzlichen Bildschirm für meine Arbeit bekommen?	equipment_request
Ich hab ein paar Dinge bestellt, aber nichts ist bisher angekommen.	equipment_request
Wo kann ich die Bestellung für neue Bücher einreichen?	equipment_request
Ich brauche dringend neue USB-Sticks für meine Präsentationen.	equipment_request
Wie oft dürfen wir neues Büromaterial bestellen?	equipment_request
Ich hab einen neuen Stuhl bestellt, aber er ist noch nicht da.	equipment_request
Wo finde ich die Informationen zu den aktuellen Bestellfristen?	equipment_request
Kann ich auch online nach Bürobedarf suchen oder nur über die Verwaltung?	equipment_request
Ich möchte ein neues Mikroskop für die Forschung anfordern, wie gehe ich vor?	equipment_request
Könnte ich die Bestellung für Büromaterial auch per E-Mail aufgeben?	equipment_request
Wo können wir die Bestellungen für Laborausrüstung einsehen?	equipment_request
Ich habe eine Bestellung für einen neuen Drucker aufgegeben, wie lange dauert das?	equipment_request
Ich benötige einige neue Bücher für meine Vorlesung, wo kann ich das anfragen?	equipment_request
Sind wir noch im Budget für neue Möbel oder muss ich das klären?	equipment_request
Wie reiche ich meine Reisekosten für die letzte Konferenz ein?	travel_expense_claim
Könnte mir bitte jemand die aktuellen Reimbursement-Richtlinien schicken?	travel_expense_claim
Ich hab' gerade meinen Antrag für die Reisekosten ausgefüllt, aber wo schicke ich den hin?	travel_expense_claim
Weiß jemand, ob ich auch die Parkgebühren zurückbekommen kann?	travel_expense_claim
Ich bin mir nicht sicher, ob ich alles richtig ausgefüllt habe, kann das jemand überprüfen?	travel_expense_claim
Was ist der Unterschied zwischen Reisekosten und Spesenerstattung?	travel_expense_claim
Ich hab' meine Quittungen verloren, was jetzt?	travel_expense_claim
Wann kann ich mit der Rückerstattung meiner Reisekosten rechnen?	travel_expense_claim
Wie lange dauert es normalerweise, bis die Reisekosten erstattet werden?	travel_expense_claim
Kann ich die Reisekosten auch digital einreichen?	travel_expense_claim
Gibt es eine Frist für die Einreichung der Reisekosten?	travel_expense_claim
Ich bin neu hier, wo finde ich die Formulare für Reisekosten?	travel_expense_claim
Könnte ich eine Kopie der Reisekostenrichtlinien bekommen?	travel_expense_claim
Darf ich auch private Reisen in meinem Antrag erwähnen?	travel_expense_claim
Muss ich alle Belege im Original einreichen?	travel_expense_claim
Ich habe die Quittungen für meine Auslagen, aber nicht für die Unterkunft, was nun?	travel_expense_claim
Wie oft kann ich Reisekosten im Jahr einreichen?	travel_expense_claim
Kann mir jemand erklären, wie das mit den Reisekostenabrechnungen funktioniert?	travel_expense_claim
Ich hab' gehört, dass es da neue Regeln gibt, wo finde ich die Infos?	travel_expense_claim
Sind die Reisekosten für Fortbildungen anders zu handhaben?	travel_expense_claim
Kann ich auch meine Verpflegungskosten abrechnen?	travel_expense_claim
Ich habe einen Reisekostenantrag online eingereicht, aber keine Bestätigung bekommen.	travel_expense_claim
Ich hab' das Formular für die Reisekosten nicht mehr, wo kann ich das runterladen?	travel_expense_claim
